inchi_key,inchi,name,atom_bag,p_kas,smiles,major_ms,number_of_protons,charges,cross_references
BAVYZALUXZFZLV-UHFFFAOYSA-N,"InChI=1S/CH5N/c1-2/h2H2,1H3",KEGG:C00218,"{""C"": 1, ""N"": 1, ""H"": 6, ""e-"": 18}",[10.08],C[NH3+],1.0,"[5, 6]","[0, 1]",KEGG:C00218
YZXBAPSDXZZRGB-DOFZRALJSA-N,"InChI=1S/C20H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10,12-13,15-16H,2-5,8,11,14,17-19H2,1H3,(H,21,22)/b7-6-,10-9-,13-12-,16-15-",KEGG:C00219,"{""C"": 20, ""O"": 2, ""H"": 31, ""e-"": 168}",[4.82],CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC([O-])=O,0.0,"[31, 32]","[-1, 0]",KEGG:C00219
OAKURXIZZOAYBC-UHFFFAOYSA-N,"InChI=1S/C3H4O3/c4-2-1-3(5)6/h2H,1H2,(H,5,6)",KEGG:C00222,"{""O"": 3, ""C"": 3, ""H"": 3, ""e-"": 46}",[3.76],[O-]C(=O)CC=O,0.0,"[3, 4]","[-1, 0]",KEGG:C00222
IRLPACMLTUPBCL-KQYNXXCUSA-N,"InChI=1S/C10H14N5O10PS/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(24-10)1-23-26(18,19)25-27(20,21)22/h2-4,6-7,10,16-17H,1H2,(H,18,19)(H2,11,12,13)(H,20,21,22)/t4-,6-,7-,10-/m1/s1",KEGG:C00224,"{""N"": 5, ""C"": 10, ""H"": 12, ""O"": 10, ""P"": 1, ""S"": 1, ""e-"": 220}","[13.98, 12.46, 4.92, 1.65]",NC1=C2N=CN([C@@H]3O[C@H](COP([O-])(=O)OS([O-])(=O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,2.0,"[10, 11, 12, 13, 14]","[-4, -3, -2, -1, 0]",KEGG:C00224
INFDPOAKFNIJBF-UHFFFAOYSA-N,"InChI=1S/C12H14N2/c1-13-7-3-11(4-8-13)12-5-9-14(2)10-6-12/h3-10H,1-2H3/q+2",KEGG:C00225,"{""C"": 12, ""N"": 2, ""H"": 14, ""e-"": 98}",[],C[N+]1=CC=C(C=C1)C1=CC=[N+](C)C=C1,0.0,[14],[2],KEGG:C00225
LIPOUNRJVLNBCD-UHFFFAOYSA-N,"InChI=1S/C2H5O5P/c1-2(3)7-8(4,5)6/h1H3,(H2,4,5,6)",KEGG:C00227,"{""C"": 2, ""O"": 5, ""P"": 1, ""H"": 3, ""e-"": 72}","[6.28, 1.24]",CC(=O)OP([O-])([O-])=O,0.0,"[3, 4, 5]","[-2, -1, 0]",KEGG:C00227
KEGG:C00229,,KEGG:C00229,{},[],,0.0,[],[],KEGG:C00229
FNZLKVNUWIIPSJ-RFZPGFLSSA-N,"InChI=1S/C5H11O8P/c6-1-3(7)5(9)4(8)2-13-14(10,11)12/h4-6,8-9H,1-2H2,(H2,10,11,12)/t4-,5-/m1/s1",KEGG:C00231,"{""O"": 8, ""C"": 5, ""H"": 9, ""P"": 1, ""e-"": 120}","[13.71, 12.24, 6.5, 1.48]",OCC(=O)[C@@H](O)[C@H](O)COP([O-])([O-])=O,2.0,"[7, 8, 9, 10, 11]","[-4, -3, -2, -1, 0]",KEGG:C00231
UIUJIQZEACWQSV-UHFFFAOYSA-N,"InChI=1S/C4H6O3/c5-3-1-2-4(6)7/h3H,1-2H2,(H,6,7)",KEGG:C00232,"{""O"": 3, ""C"": 4, ""H"": 5, ""e-"": 54}",[4.13],[O-]C(=O)CCC=O,0.0,"[5, 6]","[-1, 0]",KEGG:C00232
BKAJNAXTPSGJCU-UHFFFAOYSA-N,"InChI=1S/C6H10O3/c1-4(2)3-5(7)6(8)9/h4H,3H2,1-2H3,(H,8,9)",KEGG:C00233,"{""C"": 6, ""O"": 3, ""H"": 9, ""e-"": 70}",[3.53],CC(C)CC(=O)C([O-])=O,0.0,"[9, 10]","[-1, 0]",KEGG:C00233
AUFGTPPARQZWDO-YPMHNXCESA-N,"InChI=1S/C20H23N7O7/c21-20-25-16-15(18(32)26-20)23-11(7-22-16)8-27(9-28)12-3-1-10(2-4-12)17(31)24-13(19(33)34)5-6-14(29)30/h1-4,9,11,13,23H,5-8H2,(H,24,31)(H,29,30)(H,33,34)(H4,21,22,25,26,32)/t11-,13+/m1/s1",KEGG:C00234,"{""N"": 7, ""C"": 20, ""O"": 7, ""H"": 21, ""e-"": 248}","[11.7, 6.22, 3.66, 2.83]",NC1=NC(=O)C2=C(NC[C@H](CN(C=O)C3=CC=C(C=C3)C(=O)N[C@@H](CCC([O-])=O)C([O-])=O)N2)N1,1.0,"[20, 21, 22, 23, 24]","[-3, -2, -1, 0, 1]",KEGG:C00234
CBIDRCWHNCKSTO-UHFFFAOYSA-N,"InChI=1S/C5H12O7P2/c1-5(2)3-4-11-14(9,10)12-13(6,7)8/h3H,4H2,1-2H3,(H,9,10)(H2,6,7,8)",KEGG:C00235,"{""C"": 5, ""O"": 7, ""P"": 2, ""H"": 10, ""e-"": 128}","[7.42, 3.2, 1.77]",CC(C)=CCOP([O-])(=O)OP(O)([O-])=O,1.0,"[9, 10, 11, 12]","[-3, -2, -1, 0]",KEGG:C00235
LJQLQCAXBUHEAZ-UWTATZPHSA-N,"InChI=1S/C3H8O10P2/c4-2(1-12-14(6,7)8)3(5)13-15(9,10)11/h2,4H,1H2,(H2,6,7,8)(H2,9,10,11)/t2-/m1/s1",KEGG:C00236,"{""O"": 10, ""C"": 3, ""H"": 4, ""P"": 2, ""e-"": 136}","[11.96, 6.64, 6.04, 1.61, 1.01]",O[C@H](COP([O-])([O-])=O)C(=O)OP([O-])([O-])=O,1.0,"[3, 4, 5, 6, 7, 8]","[-5, -4, -3, -2, -1, 0]",KEGG:C00236
UGFAIRIUMAVXCW-UHFFFAOYSA-N,InChI=1S/CO/c1-2,KEGG:C00237,"{""C"": 1, ""O"": 1, ""e-"": 14}",[],[C-]#[O+],0.0,[0],[0],KEGG:C00237
NCMVOABPESMRCP-SHYZEUOFSA-N,"InChI=1S/C9H14N3O7P/c10-7-1-2-12(9(14)11-7)8-3-5(13)6(19-8)4-18-20(15,16)17/h1-2,5-6,8,13H,3-4H2,(H2,10,11,14)(H2,15,16,17)/t5-,6+,8+/m0/s1",KEGG:C00239,"{""N"": 3, ""C"": 9, ""O"": 7, ""H"": 12, ""P"": 1, ""e-"": 160}","[13.99, 6.49, 5.77, 3.86, 1.23]",NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP([O-])([O-])=O)O1,1.0,"[11, 12, 13, 14, 15, 16]","[-3, -2, -1, 0, 1, 2]",KEGG:C00239
UYTPUPDQBNUYGX-UHFFFAOYSA-N,"InChI=1S/C5H5N5O/c6-5-9-3-2(4(11)10-5)7-1-8-3/h1H,(H4,6,7,8,9,10,11)",KEGG:C00242,"{""N"": 5, ""C"": 5, ""O"": 1, ""H"": 5, ""e-"": 78}","[11.72, 10.68, 4.66]",NC1=NC2=C(N=CN2)C(=O)N1,2.0,"[3, 4, 5, 6]","[-2, -1, 0, 1]",KEGG:C00242
GUBGYTABKSRVRQ-QKKXKWKRSA-N,"InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2/t3-,4-,5+,6+,7-,8-,9-,10-,11?,12+/m1/s1",KEGG:C00243,"{""O"": 11, ""C"": 12, ""H"": 22, ""e-"": 182}","[13.32, 12.8, 12.17, 11.25]",OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,4.0,"[18, 19, 20, 21, 22]","[-4, -3, -2, -1, 0]",KEGG:C00243
GRYLNZFGIOXLOG-UHFFFAOYSA-N,"InChI=1S/HNO3/c2-1(3)4/h(H,2,3,4)",KEGG:C00244,"{""O"": 3, ""N"": 1, ""e-"": 32}",[],[O-]N(=O)=O,0.0,[0],[-1],KEGG:C00244
FERIUCNNQQJTOY-UHFFFAOYSA-N,"InChI=1S/C4H8O2/c1-2-3-4(5)6/h2-3H2,1H3,(H,5,6)",KEGG:C00246,"{""C"": 4, ""O"": 2, ""H"": 7, ""e-"": 48}",[4.91],CCCC([O-])=O,0.0,"[7, 8]","[-1, 0]",KEGG:C00246
LKDRXBCSQODPBY-AMVSKUEXSA-N,"InChI=1S/C6H12O6/c7-2-6(11)5(10)4(9)3(8)1-12-6/h3-5,7-11H,1-2H2/t3-,4+,5-,6?/m0/s1",KEGG:C00247,"{""O"": 6, ""C"": 6, ""H"": 12, ""e-"": 96}","[13.57, 12.64, 10.29]",OCC1(O)OC[C@H](O)[C@@H](O)[C@@H]1O,3.0,"[9, 10, 11, 12]","[-3, -2, -1, 0]",KEGG:C00247
FCCDDURTIIUXBY-UHFFFAOYSA-N,"InChI=1S/C8H15NOS2/c9-8(10)4-2-1-3-7-5-6-11-12-7/h7H,1-6H2,(H2,9,10)",KEGG:C00248,"{""N"": 1, ""C"": 8, ""O"": 1, ""S"": 2, ""H"": 15, ""e-"": 110}",[13.21],NC(=O)CCCCC1CCSS1,1.0,"[14, 15]","[-1, 0]",KEGG:C00248
IPCSVZSSVZVIGE-UHFFFAOYSA-N,"InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)",KEGG:C00249,"{""C"": 16, ""O"": 2, ""H"": 31, ""e-"": 144}",[4.95],CCCCCCCCCCCCCCCC([O-])=O,0.0,"[31, 32]","[-1, 0]",KEGG:C00249
RADKZDMFGJYCBB-UHFFFAOYSA-N,"InChI=1S/C8H9NO3/c1-5-8(12)7(4-11)6(3-10)2-9-5/h2,4,10,12H,3H2,1H3",KEGG:C00250,"{""C"": 8, ""N"": 1, ""O"": 3, ""H"": 9, ""e-"": 88}","[7.97, 4.11]",CC1=NC=C(CO)C(C=O)=C1O,1.0,"[8, 9, 10]","[-1, 0, 1]",KEGG:C00250
WTFXTQVDAKGDEY-HTQZYQBOSA-N,"InChI=1S/C10H10O6/c1-5(9(12)13)16-8-4-6(10(14)15)2-3-7(8)11/h2-4,7-8,11H,1H2,(H,12,13)(H,14,15)/t7-,8-/m1/s1",KEGG:C00251,"{""O"": 6, ""C"": 10, ""H"": 8, ""e-"": 118}","[13.74, 3.95, 3.18]",O[C@@H]1C=CC(=C[C@H]1OC(=C)C([O-])=O)C([O-])=O,1.0,"[7, 8, 9, 10]","[-3, -2, -1, 0]",KEGG:C00251
DLRVVLDZNNYCBX-RTPHMHGBSA-N,"InChI=1S/C12H22O11/c13-1-3-5(14)8(17)10(19)12(23-3)21-2-4-6(15)7(16)9(18)11(20)22-4/h3-20H,1-2H2/t3-,4-,5-,6-,7+,8+,9-,10-,11?,12+/m1/s1",KEGG:C00252,"{""O"": 11, ""C"": 12, ""H"": 22, ""e-"": 182}","[13.69, 13.18, 12.69, 12.13, 11.25]",OC[C@H]1O[C@H](OC[C@H]2OC(O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,5.0,"[17, 18, 19, 20, 21, 22]","[-5, -4, -3, -2, -1, 0]",KEGG:C00252
PVNIIMVLHYAWGP-UHFFFAOYSA-N,"InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)",KEGG:C00253,"{""O"": 2, ""C"": 6, ""N"": 1, ""H"": 4, ""e-"": 64}","[4.19, 2.79]",[O-]C(=O)C1=CN=CC=C1,0.0,"[4, 5, 6]","[-1, 0, 1]",KEGG:C00253
JVTAAEKCZFNVCJ-UWTATZPHSA-N,"InChI=1S/C3H6O3/c1-2(4)3(5)6/h2,4H,1H3,(H,5,6)/t2-/m1/s1",KEGG:C00256,"{""C"": 3, ""H"": 5, ""O"": 3, ""e-"": 48}",[3.78],C[C@@H](O)C([O-])=O,0.0,"[5, 6]","[-1, 0]",KEGG:C00256
RGHNJXZEOKUKBD-SQOUGZDYSA-N,"InChI=1S/C6H12O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h2-5,7-11H,1H2,(H,12,13)/t2-,3-,4+,5-/m1/s1",KEGG:C00257,"{""O"": 7, ""C"": 6, ""H"": 11, ""e-"": 104}","[13.36, 12.59, 3.39]",OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C([O-])=O,2.0,"[9, 10, 11, 12]","[-3, -2, -1, 0]",KEGG:C00257
RBNPOMFGQQGHHO-UWTATZPHSA-N,"InChI=1S/C3H6O4/c4-1-2(5)3(6)7/h2,4-5H,1H2,(H,6,7)/t2-/m1/s1",KEGG:C00258,"{""O"": 4, ""C"": 3, ""H"": 5, ""e-"": 56}","[13.5, 3.42]",OC[C@@H](O)C([O-])=O,1.0,"[4, 5, 6]","[-2, -1, 0]",KEGG:C00258
SRBFZHDQGSBBOR-HWQSCIPKSA-N,"InChI=1S/C5H10O5/c6-2-1-10-5(9)4(8)3(2)7/h2-9H,1H2/t2-,3-,4+,5?/m0/s1",KEGG:C00259,"{""O"": 5, ""C"": 5, ""H"": 10, ""e-"": 80}","[13.76, 12.79, 11.31]",O[C@H]1COC(O)[C@H](O)[C@H]1O,3.0,"[7, 8, 9, 10]","[-3, -2, -1, 0]",KEGG:C00259
HUMNYLRZRPPJDN-UHFFFAOYSA-N,InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H,KEGG:C00261,"{""O"": 1, ""C"": 7, ""H"": 6, ""e-"": 56}",[],O=CC1=CC=CC=C1,0.0,[6],[0],KEGG:C00261
FDGQSTZJBFJUBT-UHFFFAOYSA-N,"InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)",KEGG:C00262,"{""O"": 1, ""C"": 5, ""N"": 4, ""H"": 4, ""e-"": 70}","[12.45, 9.14, 1.0]",O=C1NC=NC2=C1N=CN2,2.0,"[2, 3, 4, 5]","[-2, -1, 0, 1]",KEGG:C00262
UKAUYVFTDYCKQA-VKHMYHEASA-N,"InChI=1S/C4H9NO3/c5-3(1-2-6)4(7)8/h3,6H,1-2,5H2,(H,7,8)/t3-/m0/s1",KEGG:C00263,"{""N"": 1, ""H"": 9, ""C"": 4, ""O"": 3, ""e-"": 64}","[9.16, 2.22]",[NH3+][C@@H](CCO)C([O-])=O,1.0,"[8, 9, 10]","[-1, 0, 1]",KEGG:C00263
WGCNASOHLSPBMP-UHFFFAOYSA-N,"InChI=1S/C2H4O2/c3-1-2-4/h1,4H,2H2",KEGG:C00266,"{""O"": 2, ""C"": 2, ""H"": 4, ""e-"": 32}",[],OCC=O,0.0,[4],[0],KEGG:C00266
SQVRNKJHWKZAKO-LUWBGTNYSA-N,"InChI=1S/C11H19NO9/c1-4(14)12-7-5(15)2-11(20,10(18)19)21-9(7)8(17)6(16)3-13/h5-9,13,15-17,20H,2-3H2,1H3,(H,12,14)(H,18,19)/t5-,6+,7+,8+,9+,11?/m0/s1",KEGG:C00270,"{""C"": 11, ""O"": 9, ""N"": 1, ""H"": 18, ""e-"": 164}","[12.91, 11.12, 5.68, 3.02, 2.09]",CC(=O)N[C@@H]1[C@@H](O)CC(O)(O[C@H]1[C@H](O)[C@H](O)CO)C([O-])=O,2.0,"[16, 17, 18, 19, 20, 21]","[-3, -2, -1, 0, 1, 2]",KEGG:C00270
AWQIYVPBMVSGCL-PHDIDXHHSA-N,"InChI=1S/C6H10O6/c7-1-3(9)5(11)6(12)4(10)2-8/h5-8,11-12H,1-2H2/t5-,6-/m1/s1",KEGG:C00273,"{""O"": 6, ""C"": 6, ""H"": 10, ""e-"": 94}","[13.73, 13.12, 11.87]",OCC(=O)[C@@H](O)[C@H](O)C(=O)CO,3.0,"[7, 8, 9, 10]","[-3, -2, -1, 0]",KEGG:C00273
NBSCHQHZLSJFNQ-QTVWNMPRSA-N,"InChI=1S/C6H13O9P/c7-3-2(1-14-16(11,12)13)15-6(10)5(9)4(3)8/h2-10H,1H2,(H2,11,12,13)/t2-,3-,4+,5+,6?/m1/s1",KEGG:C00275,"{""O"": 9, ""C"": 6, ""H"": 11, ""P"": 1, ""e-"": 136}","[13.62, 12.69, 11.3, 6.25, 1.22]",OC1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H](O)[C@@H]1O,3.0,"[8, 9, 10, 11, 12, 13]","[-5, -4, -3, -2, -1, 0]",KEGG:C00275
NGHMDNPXVRFFGS-IUYQGCFVSA-N,"InChI=1S/C4H9O7P/c5-1-3(6)4(7)2-11-12(8,9)10/h1,3-4,6-7H,2H2,(H2,8,9,10)/t3-,4+/m0/s1",KEGG:C00279,"{""O"": 7, ""C"": 4, ""H"": 7, ""P"": 1, ""e-"": 104}","[12.45, 6.51, 1.48]",O[C@H](COP([O-])([O-])=O)[C@@H](O)C=O,1.0,"[6, 7, 8, 9]","[-3, -2, -1, 0]",KEGG:C00279
AEMFNILZOJDQLW-QAGGRKNESA-N,"InChI=1S/C19H26O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h11,14-16H,3-10H2,1-2H3/t14-,15-,16-,18-,19-/m0/s1",KEGG:C00280,"{""C"": 19, ""H"": 26, ""O"": 2, ""e-"": 156}",[],C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CCC2=O,0.0,[26],[0],KEGG:C00280
UFHFLCQGNIYNRP-UHFFFAOYSA-N,InChI=1S/H2/h1H,KEGG:C00282,"{""H"": 2, ""e-"": 2}",[],,0.0,[2],[0],KEGG:C00282
RWSOTUBLDIXVET-UHFFFAOYSA-N,InChI=1S/H2S/h1H2,KEGG:C00283,"{""S"": 1, ""H"": 1, ""e-"": 18}",[],[SH-],0.0,[1],[-1],KEGG:C00283
BVKZGUZCCUSVTD-UHFFFAOYSA-M,"InChI=1S/CH2O3/c2-1(3)4/h(H2,2,3,4)/p-1",KEGG:C00288,"{""O"": 3, ""C"": 1, ""H"": 1, ""e-"": 32}","[10.32, 3.5]",OC([O-])=O,1.0,"[0, 1, 2]","[-2, -1, 0]",KEGG:C00288
UGQMRVRMYYASKQ-KQYNXXCUSA-N,"InChI=1S/C10H12N4O5/c15-1-4-6(16)7(17)10(19-4)14-3-13-5-8(14)11-2-12-9(5)18/h2-4,6-7,10,15-17H,1H2,(H,11,12,18)/t4-,6-,7-,10-/m1/s1",KEGG:C00294,"{""O"": 5, ""C"": 10, ""H"": 12, ""N"": 4, ""e-"": 140}","[13.89, 12.52, 11.61, 0.66]",OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CNC2=O,3.0,"[9, 10, 11, 12, 13]","[-3, -2, -1, 0, 1]",KEGG:C00294
PXQPEWDEAKTCGB-UHFFFAOYSA-N,"InChI=1S/C5H4N2O4/c8-3-1-2(4(9)10)6-5(11)7-3/h1H,(H,9,10)(H2,6,7,8,11)",KEGG:C00295,"{""O"": 4, ""C"": 5, ""N"": 2, ""H"": 3, ""e-"": 80}","[12.15, 4.51, 0.52]",[O-]C(=O)C1=CC(=O)NC(=O)N1,1.0,"[2, 3, 4, 5]","[-2, -1, 0, 1]",KEGG:C00295
AAWZDTNXLSGCEK-WYWMIBKRSA-N,"InChI=1S/C7H12O6/c8-3-1-7(13,6(11)12)2-4(9)5(3)10/h3-5,8-10,13H,1-2H2,(H,11,12)/t3-,4-,5-,7+/m1/s1",KEGG:C00296,"{""O"": 6, ""C"": 7, ""H"": 11, ""e-"": 102}","[13.78, 13.02, 3.46]",O[C@@H]1C[C@@](O)(C[C@@H](O)[C@H]1O)C([O-])=O,2.0,"[9, 10, 11, 12]","[-3, -2, -1, 0]",KEGG:C00296
DRTQHJPVMGBUCF-XVFCMESISA-N,"InChI=1S/C9H12N2O6/c12-3-4-6(14)7(15)8(17-4)11-2-1-5(13)10-9(11)16/h1-2,4,6-8,12,14-15H,3H2,(H,10,13,16)/t4-,6-,7-,8-/m1/s1",KEGG:C00299,"{""O"": 6, ""C"": 9, ""H"": 12, ""N"": 2, ""e-"": 128}","[13.93, 12.55, 7.48]",OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O,3.0,"[9, 10, 11, 12]","[-3, -2, -1, 0]",KEGG:C00299
CVSVTCORWBXHQV-UHFFFAOYSA-N,"InChI=1S/C4H9N3O2/c1-7(4(5)6)2-3(8)9/h2H2,1H3,(H3,5,6)(H,8,9)",KEGG:C00300,"{""C"": 4, ""N"": 3, ""O"": 2, ""H"": 9, ""e-"": 70}","[12.43, 3.5]",CN(CC([O-])=O)C(N)=[NH2+],1.0,"[8, 9, 10]","[-1, 0, 1]",KEGG:C00300
JLVVSXFLKOJNIY-UHFFFAOYSA-N,InChI=1S/Mg/q+2,KEGG:C00305,"{""Mg"": 1, ""e-"": 10}",[],[Mg++],0.0,[0],[2],KEGG:C00305
RZZPDXZPRHQOCG-OJAKKHQRSA-N,"InChI=1S/C14H26N4O11P2/c1-18(2,3)6-7-26-30(22,23)29-31(24,25)27-8-9-11(19)12(20)13(28-9)17-5-4-10(15)16-14(17)21/h4-5,9,11-13,19-20H,6-8H2,1-3H3,(H3-,15,16,21,22,23,24,25)/t9-,11-,12-,13-/m1/s1",KEGG:C00307,"{""C"": 14, ""N"": 4, ""O"": 11, ""P"": 2, ""H"": 25, ""e-"": 256}","[12.57, 5.92, 3.55, 2.97, 1.83]",C[N+](C)(C)CCOP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(N)=NC1=O,1.0,"[24, 25, 26, 27, 28, 29]","[-2, -1, 0, 1, 2, 3]",KEGG:C00307
LQXVFWRQNMEDEE-ZZKAVYKESA-N,"InChI=1S/C5H10O5/c6-2-5(9)4(8)3(7)1-10-5/h3-4,6-9H,1-2H2/t3-,4-,5?/m1/s1",KEGG:C00309,"{""O"": 5, ""C"": 5, ""H"": 10, ""e-"": 80}","[12.84, 10.29]",OCC1(O)OC[C@@H](O)[C@H]1O,2.0,"[8, 9, 10]","[-2, -1, 0]",KEGG:C00309
LQXVFWRQNMEDEE-OVEKKEMJSA-N,"InChI=1S/C5H10O5/c6-2-5(9)4(8)3(7)1-10-5/h3-4,6-9H,1-2H2/t3-,4+,5?/m1/s1",KEGG:C00310,"{""O"": 5, ""C"": 5, ""H"": 10, ""e-"": 80}","[12.84, 10.29]",OCC1(O)OC[C@@H](O)[C@@H]1O,2.0,"[8, 9, 10]","[-2, -1, 0]",KEGG:C00310
ODBLHEXUDAPZAU-UHFFFAOYSA-N,"InChI=1S/C6H8O7/c7-3(8)1-2(5(10)11)4(9)6(12)13/h2,4,9H,1H2,(H,7,8)(H,10,11)(H,12,13)",KEGG:C00311,"{""O"": 7, ""C"": 6, ""H"": 5, ""e-"": 100}","[5.41, 4.68, 3.07]",OC(C(CC([O-])=O)C([O-])=O)C([O-])=O,0.0,"[5, 6, 7, 8]","[-3, -2, -1, 0]",KEGG:C00311
LQXVFWRQNMEDEE-PYHARJCCSA-N,"InChI=1S/C5H10O5/c6-2-5(9)4(8)3(7)1-10-5/h3-4,6-9H,1-2H2/t3-,4+,5?/m0/s1",KEGG:C00312,"{""O"": 5, ""C"": 5, ""H"": 10, ""e-"": 80}","[12.84, 10.29]",OCC1(O)OC[C@H](O)[C@H]1O,2.0,"[8, 9, 10]","[-2, -1, 0]",KEGG:C00312
QVXMZFTWJVBUHP-IBOSZNHHSA-N,"InChI=1S/C23H36N7O19P3S/c1-23(2,16(33)19(34)26-4-3-12(31)25-5-6-53-22(37)21(35)36)8-46-52(43,44)49-51(41,42)45-7-11-15(48-50(38,39)40)14(32)20(47-11)30-10-29-13-17(24)27-9-28-18(13)30/h9-11,14-16,20,32-33H,3-8H2,1-2H3,(H,25,31)(H,26,34)(H,35,36)(H,41,42)(H,43,44)(H2,24,27,28)(H2,38,39,40)/t11-,14-,15-,16+,20-/m1/s1",KEGG:C00313,"{""C"": 23, ""O"": 19, ""P"": 3, ""H"": 31, ""N"": 7, ""S"": 1, ""e-"": 436}","[6.08, 5.44, 4.17, 3.65, 3.15, 2.53, 1.82, 0.81]",CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)N1C=NC2=C(N)N=CN=C12)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C([O-])=O,0.0,"[31, 32, 33, 34, 35, 36, 37, 38, 39]","[-5, -4, -3, -2, -1, 0, 1, 2, 3]",KEGG:C00313
LXNHXLLTXMVWPM-UHFFFAOYSA-N,"InChI=1S/C8H11NO3/c1-5-8(12)7(4-11)6(3-10)2-9-5/h2,10-12H,3-4H2,1H3",KEGG:C00314,"{""C"": 8, ""N"": 1, ""O"": 3, ""H"": 11, ""e-"": 90}","[9.4, 5.58]",CC1=NC=C(CO)C(CO)=C1O,1.0,"[10, 11, 12]","[-1, 0, 1]",KEGG:C00314
PHIQHXFUZVPYII-ZCFIWIBFSA-N,"InChI=1S/C7H15NO3/c1-8(2,3)5-6(9)4-7(10)11/h6,9H,4-5H2,1-3H3/t6-/m1/s1",KEGG:C00318,"{""C"": 7, ""N"": 1, ""H"": 15, ""O"": 3, ""e-"": 88}","[13.52, 4.2]",C[N+](C)(C)C[C@H](O)CC([O-])=O,1.0,"[14, 15, 16]","[-1, 0, 1]",KEGG:C00318
FGSBNBBHOZHUBO-UHFFFAOYSA-N,"InChI=1S/C6H8O5/c7-4(6(10)11)2-1-3-5(8)9/h1-3H2,(H,8,9)(H,10,11)",KEGG:C00322,"{""O"": 5, ""C"": 6, ""H"": 6, ""e-"": 84}","[4.04, 2.84]",[O-]C(=O)CCCC(=O)C([O-])=O,0.0,"[6, 7, 8]","[-2, -1, 0]",KEGG:C00322
RHGKLRLOHDJJDR-BYPYZUCNSA-N,"InChI=1S/C6H13N3O3/c7-4(5(10)11)2-1-3-9-6(8)12/h4H,1-3,7H2,(H,10,11)(H3,8,9,12)/t4-/m0/s1",KEGG:C00327,"{""N"": 3, ""C"": 6, ""O"": 3, ""H"": 13, ""e-"": 94}","[9.23, 2.35, 0.01]",NC(=O)NCCC[C@H]([NH3+])C([O-])=O,1.0,"[12, 13, 14, 15]","[-1, 0, 1, 2]",KEGG:C00327
RSTKLPZEZYGQPY-UHFFFAOYSA-N,"InChI=1S/C11H9NO3/c13-10(11(14)15)5-7-6-12-9-4-2-1-3-8(7)9/h1-4,6,12H,5H2,(H,14,15)",KEGG:C00331,"{""O"": 3, ""C"": 11, ""N"": 1, ""H"": 8, ""e-"": 106}",[3.49],[O-]C(=O)C(=O)CC1=CNC2=CC=CC=C12,0.0,"[8, 9]","[-1, 0]",KEGG:C00331
