inchi_key,inchi,name,atom_bag,p_kas,smiles,major_ms,number_of_protons,charges,cross_references
XUYPXLNMDZIRQH-LURJTMIESA-N,"InChI=1S/C7H13NO3S/c1-5(9)8-6(7(10)11)3-4-12-2/h6H,3-4H2,1-2H3,(H,8,9)(H,10,11)/t6-/m0/s1",KEGG:C02712,"{""C"": 7, ""S"": 1, ""H"": 12, ""N"": 1, ""O"": 3, ""e-"": 102}","[6.2, 4.06, 1.52]",CSCC[C@H](NC(C)=O)C([O-])=O,0.0,"[12, 13, 14, 15]","[-1, 0, 1, 2]",KEGG:C02712
LLKCTZRWBHOKFF-UHFFFAOYSA-N,"InChI=1S/C3H6N2O2/c4-2-5-1-3(6)7/h2H,1H2,(H2,4,5)(H,6,7)",KEGG:C02718,"{""O"": 2, ""C"": 3, ""N"": 2, ""H"": 6, ""e-"": 54}","[11.2, 2.77]",[O-]C(=O)CNC=[NH2+],1.0,"[5, 6, 7]","[-1, 0, 1]",KEGG:C02718
DEDGUGJNLNLJSR-VURMDHGXSA-N,"InChI=1S/C9H8O3/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-6,10H,(H,11,12)/b8-6-",KEGG:C02763,"{""O"": 3, ""C"": 9, ""H"": 7, ""e-"": 86}","[11.75, 3.4]",[O-]C(=O)C(=O)CC1=CC=CC=C1,1.0,"[6, 7, 8]","[-2, -1, 0]",KEGG:C02763
RXMWXENJQAINCC-DMTCNVIQSA-N,"InChI=1S/C6H8O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h3-4,7,9-10H,1H2,(H,12,13)/t3-,4+/m1/s1",KEGG:C02780,"{""O"": 7, ""C"": 6, ""H"": 7, ""e-"": 100}","[13.29, 11.97, 2.52]",OCC(=O)[C@@H](O)[C@H](O)C(=O)C([O-])=O,2.0,"[5, 6, 7, 8]","[-3, -2, -1, 0]",KEGG:C02780
PALQXFMLVVWXFD-KODRXGBYSA-N,"InChI=1S/C6H12O6/c7-2-4(9)6(12)3(8)1-5(10)11/h3-4,6-9,12H,1-2H2,(H,10,11)/t3-,4-,6+/m1/s1",KEGG:C02782,"{""O"": 6, ""C"": 6, ""H"": 11, ""e-"": 96}","[12.92, 3.99]",OC[C@@H](O)[C@@H](O)[C@H](O)CC([O-])=O,1.0,"[10, 11, 12]","[-2, -1, 0]",KEGG:C02782
CHDDAVCOAOFSLD-UHFFFAOYSA-N,"InChI=1S/C3H5O6P/c4-2(3(5)6)1-10(7,8)9/h1H2,(H,5,6)(H2,7,8,9)",KEGG:C02798,"{""O"": 6, ""P"": 1, ""C"": 3, ""H"": 3, ""e-"": 86}","[8.36, 3.03, 1.64]",OP([O-])(=O)CC(=O)C([O-])=O,1.0,"[2, 3, 4, 5]","[-3, -2, -1, 0]",KEGG:C02798
KEGG:C02839,,KEGG:C02839,{},[],,0.0,[],[],KEGG:C02839
CWNNYYIZGGDCHS-UHFFFAOYSA-N,"InChI=1S/C6H8O4/c1-4(6(9)10)2-3-5(7)8/h1-3H2,(H,7,8)(H,9,10)",KEGG:C02930,"{""O"": 4, ""C"": 6, ""H"": 6, ""e-"": 76}","[4.56, 3.77]",[O-]C(=O)CCC(=C)C([O-])=O,0.0,"[6, 7, 8]","[-2, -1, 0]",KEGG:C02930
FEMXZDUTFRTWPE-DZSWIPIPSA-N,"InChI=1S/C9H13N5O3/c1-3(15)6(16)4-2-11-7-5(12-4)8(17)14-9(10)13-7/h3,6,15-16H,2H2,1H3,(H4,10,11,13,14,17)/t3-,6-/m0/s1",KEGG:C02953,"{""C"": 9, ""H"": 13, ""O"": 3, ""N"": 5, ""e-"": 126}","[13.01, 3.03]",C[C@H](O)[C@H](O)C1=CNC2=NC(N)=NC(=O)C2N1,1.0,"[12, 13, 14]","[-1, 0, 1]",KEGG:C02953
NGHVIOIJCVXTGV-ALEPSDHESA-N,"InChI=1S/C8H12N2O3S/c1-8(2)4(7(12)13)10-5(11)3(9)6(10)14-8/h3-4,6H,9H2,1-2H3,(H,12,13)/t3-,4+,6-/m1/s1",KEGG:C02954,"{""C"": 8, ""S"": 1, ""H"": 12, ""N"": 2, ""O"": 3, ""e-"": 114}","[7.4, 3.42]",CC1(C)S[C@@H]2[C@H]([NH3+])C(=O)N2[C@H]1C([O-])=O,1.0,"[11, 12, 13]","[-1, 0, 1]",KEGG:C02954
KEGG:C02988,,KEGG:C02988,{},[],,0.0,[],[],KEGG:C02988
XOMRRQXKHMYMOC-OAQYLSRUSA-N,"InChI=1S/C23H45NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-23(27)28-21(19-22(25)26)20-24(2,3)4/h21H,5-20H2,1-4H3/t21-/m1/s1",KEGG:C02990,"{""C"": 23, ""O"": 4, ""H"": 45, ""N"": 1, ""e-"": 222}",[4.22],CCCCCCCCCCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C,0.0,"[45, 46]","[0, 1]",KEGG:C02990
KEGG:C02992,,KEGG:C02992,{},[],,0.0,[],[],KEGG:C02992
UFAHZIUFPNSHSL-UHFFFAOYSA-N,"InChI=1S/C10H19NO4/c1-5-10(14)15-8(6-9(12)13)7-11(2,3)4/h8H,5-7H2,1-4H3",KEGG:C03017,"{""C"": 10, ""O"": 4, ""N"": 1, ""H"": 19, ""e-"": 118}",[4.19],CCC(=O)OC(CC([O-])=O)C[N+](C)(C)C,0.0,"[19, 20]","[0, 1]",KEGG:C03017
OWBTYPJTUOEWEK-QWWZWVQMSA-N,"InChI=1S/C4H10O2/c1-3(5)4(2)6/h3-6H,1-2H3/t3-,4-/m1/s1",KEGG:C03044,"{""C"": 4, ""H"": 10, ""O"": 2, ""e-"": 50}",[],C[C@@H](O)[C@@H](C)O,0.0,[10],[0],KEGG:C03044
ZRPDXDBGEYHEBJ-UHFFFAOYSA-N,"InChI=1S/C4H9NO4/c5-4(1-6,2-7)3(8)9/h6-7H,1-2,5H2,(H,8,9)",KEGG:C03059,"{""N"": 1, ""H"": 9, ""C"": 4, ""O"": 4, ""e-"": 72}","[8.66, 1.87]",[NH3+]C(CO)(CO)C([O-])=O,1.0,"[8, 9, 10]","[-1, 0, 1]",KEGG:C03059
SCSGVVIUUUPOOJ-GSVOUGTGSA-N,"InChI=1S/C4H6O5/c5-1-2(6)3(7)4(8)9/h3,5,7H,1H2,(H,8,9)/t3-/m1/s1",KEGG:C03064,"{""O"": 5, ""C"": 4, ""H"": 5, ""e-"": 70}","[13.92, 12.43, 3.1]",OCC(=O)[C@@H](O)C([O-])=O,2.0,"[3, 4, 5, 6]","[-3, -2, -1, 0]",KEGG:C03064
