reaction	dGr	dGrSD
"r_0082"	-14.3480604668	6.78453760627
"r_0083"	5944307897.47	8187.81943707
"r_0084"	112174107.77	154.850090819
"r_0085"	-2929760992.21	4035.52266863
"r_0086"	-3937187179.33	5423.16923164
"r_0087"	-3692020658.56	5085.47827403
"r_0088"	1321521033.31	1820.29308762
"r_0089"	-5.63486601196	16.2131994277
"r_0090"	-5.48918711962	8.94766667231
"r_0091"	2910640850.16	4009.21235486
"r_0092"	-3489880161.02	4807.04417269
"r_0093"	-92.90921565	34.6405940751
"r_0094"	-2457533937.78	3385.13970869
"r_0095"	21.8450272734	28.3563375191
"r_0096"	-21.9429577189	14.4177642763
"r_0097"	2311843056.21	3184.39120197
"r_0098"	2311843056.21	3184.39120197
"r_0099"	2311843074.35	3184.42314978
"r_0100"	-1101307512.9	1516.99602401
"r_0101"	-43.2311956329	3.9248756146
"r_0102"	1093680287.84	1506.48081451
"r_0103"	7523.27258764	100000.004547
"r_0104"	7523.27258764	100000.004547
"r_0105"	2094263275.46	2884.72175667
"r_0106"	3.47363585409	16.1955779135
"r_0107"	-6656.09890276	100000.004469
"r_0108"	845.328657604	141421.359075
"r_0109"	3119044758.27	4296.63660448
"r_0110"	-618185642.29	851.602029792
"r_0111"	-101849334.669	141.02702659
"r_0112"	101849194.137	141.901190742
"r_0115"	-874140960.138	1204.08552093
"r_0116"	257.494090456	100000.00105
"r_0117"	-31.2545964748	4.87589345657
"r_0118"	26.6557060288	4.14374690853
"r_0119"	26.6557060288	4.14374690853
"r_0120"	-31.2545964748	4.87589345657
"r_0121"	-31.2545964748	4.87589345657
"r_0122"	-31.2545964748	4.87589345657
"r_0123"	1554941879.63	2141.87059907
"r_0124"	1554941879.63	2141.87059907
"r_0125"	5.13576363157	14.3126943464
"r_0126"	-5.13576363157	14.3126943464
"r_0127"	-6.61310957897	1.94510724819
"r_0128"	-6.61310957897	1.94510724819
"r_0129"	-6.61310957897	1.94510724819
"r_0130"	-1114110601.68	1534.63747912
"r_0131"	-414803808.845	571.413373665
"r_0132"	-0.000275189907313	0.0
"r_0133"	-352820678.471	486.137122123
"r_0134"	2544128153.53	3504.45810032
"r_0135"	-121.872920558	19.9583382058
"r_0136"	-121.872920558	19.9583382058
"r_0137"	-116.620455153	141421.357639
"r_0138"	874140807.01	1204.24557982
"r_0139"	-1828824325.38	2519.13945815
"r_0140"	-121.872920558	19.9583382058
"r_0141"	-2458752161.2	271061.781033
"r_0142"	-2458752130.6	271061.781257
"r_0143"	-2458752154.4	271061.78123
"r_0144"	-2458752584.57	337121.892885
"r_0145"	-2366204418.96	271018.148398
"r_0153"	-42.0317650902	21.8782926387
"r_0154"	-18.074114757	6.42494120829
"r_0155"	-42.4612607167	20.8664961843
"r_0156"	-4.47471761974	8.4042077759
"r_0157"	14.2501300213	15.6746412519
"r_0158"	-51.3201340639	22.5049611288
"r_0159"	34.7306227843	14.0952926261
"r_0160"	7972048549.1	10980.8834738
"r_0161"	5060128896.15	6969.92691158
"r_0162"	4.99292239627	4.75740501425
"r_0163"	-1.2806827364	0.768214354611
"r_0164"	-1.2806827364	0.768214354611
"r_0165"	1.36368185535	6.41836042301
"r_0166"	1.36368185535	6.41836042301
"r_0167"	-4.83673344848	7.02725848776
"r_0168"	-4.83673344848	7.02725848776
"r_0169"	21.0598766126	20.7332758016
"r_0170"	59.2051845561	29.9936167457
"r_0171"	17.336810721	16.5707120486
"r_0172"	1461610577.19	2013.34010046
"r_0173"	127397098.965	176.112149257
"r_0174"	-8.02115256017	7.92124401359
"r_0176"	52.9220396062	141421.356318
"r_0177"	-44.8366232885	16.9000527912
"r_0178"	-2.5488517697	5.2238870946
"r_0179"	-218.707894154	100000.000127
"r_0180"	-2.54885176971	5.2238870946
"r_0181"	46.3534676516	14.1784605651
"r_0182"	-64.3836120902	17.0712018638
"r_0183"	-46.3534676516	14.1784605651
"r_0184"	-412.467771291	100000.001044
"r_0185"	-412.467771291	100000.001044
"r_0186"	-412.798924308	100000.001049
"r_0187"	-2113835796.27	2911.6766119
"r_0188"	-2113835796.27	2911.6766119
"r_0189"	-2113835796.6	2911.67680945
"r_0190"	206.188010427	100000.007158
"r_0191"	2.80529721439	28.8920028816
"r_0192"	2.47414419714	28.8641081337
"r_0193"	2.80529721439	28.8920028816
"r_0194"	-1511343594.23	2081.94998593
"r_0195"	-1511343593.9	2081.95023858
"r_0196"	-1511343593.9	2081.95023858
"r_0197"	-47.3090063949	14.3692132757
"r_0198"	-47.3090063949	14.3692132757
"r_0199"	-47.6401594123	14.4091884108
"r_0200"	177.300111266	100000.001041
"r_0201"	177.300111266	100000.001041
"r_0202"	176.968958248	100000.001047
"r_0203"	3052907666.25	4205.23763136
"r_0204"	1466307582.21	2019.77365031
"r_0205"	1466307582.21	2019.77365031
"r_0206"	-16.6428955246	29.6562793642
"r_0207"	465.393852885	100000.002551
"r_0208"	-43.2689336045	37.3913435277
"r_0209"	-1358970982.07	1872.78604576
"r_0210"	17.5073313241	22.8595766533
"r_0211"	-11.6611463883	5.17953056624
"r_0212"	-11.6611463883	5.17953056624
"r_0213"	-2312364169.34	3185.16907005
"r_0214"	393.91153428	141421.356271
"r_0215"	-1325.02744822	158113.883533
"r_0216"	-14.5573884002	7.59215575399
"r_0217"	3926061407.05	5407.85849558
"r_0218"	172705221.879	239.266692938
"r_0219"	1312056038.12	1807.48882147
"r_0220"	1616684382.98	2226.86852942
"r_0221"	-2523845111.98	3476.43916112
"r_0222"	65.5771375637	31.5582723678
"r_0223"	-2264151953.24	3118.72583338
"r_0224"	1466931286.11	2020.69943396
"r_0225"	18.1358353604	20.7332758016
"r_0226"	24.4083122425	15.7569481022
"r_0229"	109.557272258	22.4554794871
"r_0232"	4.64963694182	19.9321190332
"r_0233"	18.7221105309	14.0952926261
"r_0234"	85.249766777	70710.6812947
"r_0235"	2.85931744018	2.61338076318
"r_0236"	2.85931744018	2.61338076318
"r_0237"	2.85931744018	2.61338076318
"r_0238"	-8.69217180634	16.2738395289
"r_0241"	-65.6750680092	19.9895980796
"r_0242"	-129785601.993	141343.160599
"r_0243"	-259576868.605	358.03798704
"r_0244"	1.08482184547	28.3321511283
"r_0249"	-0.0979304454649	14.169038521
"r_0250"	-129786795.24	99889.3835615
"r_0251"	59.5666335016	20.5688670891
"r_0252"	59.5666335016	20.5688670891
"r_0253"	59.5666335016	20.5688670891
"r_0254"	59.5666335016	20.5688670891
"r_0255"	59.5666335016	20.5688670891
"r_0256"	1034458396.7	144278.827096
"r_0257"	-4156460737.93	5725.21767977
"r_0258"	-60.2403420223	16.6401474271
"r_0259"	627.727571817	269920.624702
"r_0260"	627.3964188	269920.624704
"r_0261"	-330.487000625	141421.357668
"r_0262"	-32.7524684031	20.2965179744
"r_0263"	-25.3878842425	14.4729913202
"r_0264"	-92546750.9371	269878.406624
