reaction	dGr	dGrSD
"r_1014"	-20.5516	2.9879
"r_1015"	-20.5516	2.9879
"r_1016"	-3.5679	6.051
"r_1017"	-7.3218	5.1265
"r_1018"	3.5168	1.4892
"r_1019"	-5.0013	5.9999
"r_1020"	-3.5126	2.1697
"r_1021"	-267.7002	100000.0006
"r_1022"	-267.8246	100000.0006
"r_1026"	10.075	3.2462
"r_1027"	-31.3295	3.7318
"r_1030"	-15.6837	5.7903
"r_1031"	3.6109	6.4806
"r_1032"	-39.6784	3.9099
"r_1033"	69.988	100000.0002
"r_1034"	-73.8523	3.6427
"r_1035"	-8.9755	3.7845
"r_1036"	5.8012	2.4984
"r_1037"	-10.7666	3.075
"r_1038"	-7.4028	3.1999
"r_1041"	4.783	1.4119
"r_1042"	-31.0579	4.8112
"r_1043"	-34.906	5.9761
"r_1050"	-0.020593	3
"r_1051"	-0.020593	3
"r_1052"	-0.020593	3
"r_1055"	-12.7096	5.0644
"r_1056"	-1.8326	5.8097
"r_1057"	2.9482	1.2041
"r_1058"	-2.4224	2.206
"r_1059"	-5.6055	4.6194
"r_1060"	-5.6055	4.6194
"r_1061"	-13.0834	5.941
"r_1062"	54.9335	7.7905
"r_1063"	-109.4818	70710.6795
"r_1064"	-12.0339	7.0407
"r_1065"	-9.4305	7.293
"r_1066"	-0.13543	1.5071
"r_1067"	-0.13543	1.5071
"r_1068"	-36.8593	24.3701
"r_1069"	2153.5597	458257.5707
"r_1070"	-217.5792	400000.0014
"r_1071"	-44.8232	10.1614
"r_1072"	1.0948	4.3168
"r_1073"	1.9988	4.8058
"r_1074"	1.9988	4.8058
"r_1077"	-239.1166	100000.0001
"r_1078"	-239.1166	100000.0001
"r_1079"	-24.4077	3.247
"r_1080"	19.8641	4.4613
"r_1081"	-17.0597	4.5164
"r_1082"	-23.7199	5.1569
"r_1083"	-32.2213	2.9714
"r_1721"	0	0
"r_1722"	0	0
"r_1723"	0	0
"r_1724"	0	0
"r_1725"	0	0
"r_1726"	0	0
"r_1727"	0	0
"r_1728"	0	0
"r_1729"	0	0
"r_1811"	0	0
"r_1815"	0	0
"r_1862"	0	0
"r_1863"	0	0
