reaction	dGr	dGrSD
"r_0208"	-68.604	12.8153
"r_0209"	-99.1965	18.1467
"r_0210"	-7.6997	7.0714
"r_0211"	-11.6582	1.559
"r_0212"	-11.6582	1.559
"r_0213"	-20.7411	5.6964
"r_0214"	12.675	2.0639
"r_0215"	0	0
"r_0216"	-14.5539	2.2852
"r_0217"	-9.7676	4.9161
"r_0218"	-97.6192	7.9015
"r_0219"	-51.5113	8.867
"r_0220"	-69.5733	3.7612
"r_0221"	-145.2637	7.9808
"r_0222"	13.9689	11.244
"r_0223"	-13.371	4.6852
"r_0224"	-42.0836	6.9612
"r_0225"	18.5604	6.2406
"r_0226"	1.2027	4.7433
"r_0229"	-30.5177	6.7797
"r_0232"	-20.7494	5.9999
"r_0233"	18.4496	4.2426
"r_0234"	58.5668	70710.6785
"r_0235"	2.8808	0.78661
"r_0236"	2.8808	0.78661
"r_0237"	2.8808	0.78661
"r_0238"	14.6631	4.8989
"r_0241"	-40.6198	8.5078
"r_0242"	-14.4783	70710.6785
"r_0243"	-27.8906	6.0251
"r_0244"	-51.0116	8.5291
"r_0249"	-26.6509	4.2655
"r_0250"	0	0
"r_0251"	-4.9074	6.1923
"r_0252"	-4.9074	6.1923
"r_0253"	-4.9074	6.1923
"r_0254"	-4.9074	6.1923
"r_0255"	-4.9074	6.1923
"r_0256"	-618.3937	143924.5838
"r_0257"	-24.4864	5.9542
"r_0258"	-35.9042	9.4273
"r_0259"	-395.0092	6.4859
"r_0260"	-395.9123	6.4925
"r_0261"	0	0
"r_0262"	-21.4126	6.7131
"r_0263"	-1.0385	4.629
"r_0264"	-1.0385	6.3435
"r_0265"	-395.9294	6.1461
"r_0266"	-437.6836	6.4145
"r_0267"	0	0
"r_0268"	-1331.5628	18.5184
"r_0269"	-425.0683	10.5088
"r_0270"	6.8018	7.5664
"r_0271"	-61.239	4.4966
"r_0276"	-73.7485	9.0597
"r_0277"	-16.6	9.3088
"r_0279"	-1.1357	2.1213
"r_0280"	-1.1357	2.1213
"r_0281"	-1.1357	2.1213
"r_0282"	-193.7702	9.7559
"r_0283"	-193.7702	9.7559
"r_0286"	-397.4435	6.1255
"r_0287"	-396.9458	6.1255
"r_0288"	-397.4435	6.1255
"r_0289"	-396.9458	6.1255
"r_0290"	-29.0763	100000.0001
"r_0291"	-19.6602	100000.0002
"r_0292"	-29.1933	100000.0001
"r_0293"	-19.7772	100000.0002
"r_0294"	-396.7793	6.1255
"r_0295"	-396.7793	6.1255
"r_0298"	-346.7485	100000.0006
"r_0299"	-18.1817	4.3066
"r_0300"	3.1778	5.9999
"r_0302"	199.0715	70710.6783
"r_0304"	-34.1785	4.6016
"r_0305"	-154.6618	6.3658
"r_0306"	-26.6786	3.905
"r_0307"	-2.4734	3.0615
"r_0308"	-2.4734	3.0615
"r_0309"	-73.8523	3.6427
"r_0310"	-73.8523	13.2388
"r_0311"	-73.8523	3.6427
"r_0312"	-73.8523	13.2388
"r_0313"	-73.8523	3.6427
"r_0314"	-73.8523	3.6427
"r_0315"	-73.8523	3.6427
"r_0316"	-73.8523	3.6427
"r_0317"	-73.8523	3.6427
"r_0318"	-73.8523	3.6427
"r_0319"	-73.8523	3.6427
"r_0320"	-73.8523	3.6427
"r_0321"	-73.8523	3.6427
"r_0322"	-73.8523	3.6427
"r_0323"	-73.8523	3.6427
"r_0324"	-73.8523	3.6427
"r_0325"	-73.8523	3.6427
"r_0326"	-73.8523	3.6427
"r_0327"	-73.8523	3.6427
"r_0328"	-34.9034	4.2896
"r_0329"	-34.9034	4.2896
